status,starturl,origin
200,http://metashare.csc.fi/repository/browse/plenary-sessions-of-the-parliament-of-finland-kielipankki-korp-version-1/f3a84694e91b11e6ba62005056be118e314e12f4553c478b9d1cac13f65a1444/,parliamentary-corpora
200,http://hdl.handle.net/11321/467,parliamentary-corpora
200,http://ucrel.lancs.ac.uk/usas/,parliamentary-corpora
200,http://www.inf.u-szeged.hu/~rfarkas/paralell.pdf,parallel-corpora
200,http://hdl.handle.net/20.500.11821/17,parliamentary-corpora
200,http://lindat.mff.cuni.cz/services/kontext/first_form?corpname=czechparl_2012_03_28_cs_w,parliamentary-corpora
200,https://hdl.handle.net/11403/de-parl/v1,parliamentary-corpora
200,https://hdl.handle.net/11403/fr-parl/v1,parliamentary-corpora
200,http://www.lrec-conf.org/proceedings/lrec2014/summaries/846.html,parallel-corpora
200,http://www.lrec-conf.org/proceedings/lrec2012/summaries/577.html,parallel-corpora
200,https://ec.europa.eu/jrc/sites/jrcsh/files/2014_08_LRE-Journal_JRC-Linguistic-Resources_Manuscript.pdf,parallel-corpora
200,http://hdl.handle.net/11495/DA65-D02F-0EB0-9,parliamentary-corpora
200,http://opus.nlpl.eu/ParCor/,parallel-corpora
404,http://stp.lingfil.uu.se/~joerg/published/ranlp-V.pdf,parallel-corpora
200,https://www.dfki.de/lt/publication_show.php?id=4790,parallel-corpora
200,http://epubs.surrey.ac.uk/id/eprint/819894,parallel-corpora
200,http://wilkeraziz.github.io/dcs-site/fapesp.html,parallel-corpora
200,http://www.statmt.org/wmt16/biomedical-translation-task.html,parallel-corpora
200,https://hdl.handle.net/11403/uk-parl/v1,parliamentary-corpora
200,http://hdl.handle.net/20.500.12115/8,parliamentary-corpora
200,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-57FA-5,parliamentary-corpora
200,http://www.cs.cmu.edu/~lingwang/microtopia/,parallel-corpora
200,https://conferences.unite.un.org/uncorpus,parallel-corpora
200,http://nlp.ffzg.hr/resources/corpora/setimes/,parallel-corpora
200,https://dgd.ids-mannheim.de/dgd/pragdb.dgd_extern.welcome?v_session_id=C69292C794559A78B7D726DA857193E7,spoken-corpora
200,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-5808-5,parliamentary-corpora
200,http://opus.lingfil.uu.se/EUbookshop.php,parallel-corpora
200,http://nlp.ilsp.gr/pgv/,parallel-corpora
200,http://hdl.handle.net/1854/LU-689964,parallel-corpora
200,http://korpus.juls.savba.sk/sken.html,parallel-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0005-CF9C-4,parliamentary-corpora
200,http://www.korpuss.lv/lila/,parallel-corpora
200,http://tekstynas.vdu.lt/page.xhtml?id=parallelLILA,parallel-corpora
200,http://clara.b.uib.no/fellows/carla-parra-escartin/tris/,parallel-corpora
200,http://metashare.tilde.com/repository/download/1ebafd00a96111e5aa3b001dd8b71c66ec3a43cb0e0f4669b64f85347efd43a7/,parallel-corpora
404,http://catalog.elra.info/product_info.php?products_id=1262,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/reveal-this-corpus/3d1c4f0e614a11e289f6842b2b6a04d7c69218b49aab4ab78249dd27add9d4a3/,parallel-corpora
200,http://search.dcl.bas.bg/,parallel-corpora
200,http://metashare.tilde.com/repository/browse/estonian-open-parallel-corpus-2012-estonian-english/1ebafd00a96111e5aa3b001dd8b71c66ec3a43cb0e0f4669b64f85347efd43a7/,parallel-corpora
200,http://www.sol.lu.se/engelska/corpus/corpus/espc.html#structure,parallel-corpora
200,http://www.gaois.ie/crp/en/,parallel-corpora
200,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=umc_01_enru_en_m,parallel-corpora
200,http://metashare.elda.org/repository/browse/bulgarian-x-language-parallel-corpus/b8ecf7fe66cd11e281b65cf3fcb88b70394683c3b32549349cf039716e61a92b/,parallel-corpora
200,https://metashare.korpus.sk/repository/browse/slovak-english-parallel-corpus-free/719fe518665b11e2b2e800163e0000784f67c82f54f44ce3b06749baf33bfbd2/,parallel-corpora
200,http://hdl.handle.net/11321/308,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/qtleap-news-corpus/834dfa6ca12a11e6a2aa782bcb074135a731473a10da4b04b0523d389854400d/,parallel-corpora
200,http://catalog.elra.info/en-us/repository/browse/panacea-english-french-and-english-greek-parallel-corpus-acquired-for-environment-domain/2160e3d2a9e911e7a093ac9e1701ca02431dc8b0b45343468444ccf5ecbda6c7/,parallel-corpora
200,https://ivdnt.org/downloads/taalmaterialen/tstc-dutch-parallel-corpus-niet-commercieel,parallel-corpora
200,http://hdl.grnet.gr/11500/IONION-0000-0000-2512-2,parallel-corpora
200,https://catalog.elra.info/en-us/repository/browse/panacea-english-french-and-english-greek-parallel-corpus-acquired-for-environment-domain/2160e3d2a9e911e7a093ac9e1701ca02431dc8b0b45343468444ccf5ecbda6c7/,parallel-corpora
200,http://hdl.handle.net/11372/LRT-631,parallel-corpora
200,http://hdl.handle.net/11234/1-1595,parallel-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/parallel-wiki-english-german/424504fadc7411e5aa0b00237df3e358380903df1e5642df8582c0a852c36359/,parallel-corpora
200,http://hdl.grnet.gr/11500/UOA-0000-0000-2578-0,parallel-corpora
200,http://catalog.elra.info/en-us/repository/browse/european-parliament-interpretation-corpus-epic/f13214a2a9e711e7a093ac9e1701ca02d0aa64f224b54427a87e38e3ca23944a/,parallel-corpora
200,http://metashare.csc.fi/repository/browse/mulcold-multilingual-parallel-corpus-of-legal-texts/f62d2584744811e2bc48005056be118ef26d25fb3a8e42858917cbe270814ff9/,parallel-corpora
200,https://korp.csc.fi/?mode=other_languages,parallel-corpora
